"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV18",0.788910660359067,0.634719845542627,0.064775842297159,0.182128421500132,0.848177691344867,0.992915610397006,0.999715679643624
"ASV19",0.436008316884643,0.691417305566726,0.0712059493157804,0.0275700050673617,0.453136622112615,0.960344370345889,0.998589110963985
"ASV20",0.528151755954805,0.557538130597788,0.0652548780049559,0.106117005765482,0.681813208098194,0.974797015147034,0.998569666839913
"ASV21",0.639774071664974,0.748796875510144,0.0637346031013456,0.0331651639544436,0.600332229814891,0.985024143519795,0.999652918585689
"ASV22",0.744392190169412,0.633266570578483,0.0633416345186973,0.148789566226256,0.816963018455792,0.991302099002677,0.999656496462617
"ASV23",0.601783881637602,0.540139179708428,0.0571577115126353,0.149183177723335,0.772585045531097,0.985034858421647,0.999216488581314
"ASV24",0.817991795655325,0.43564940350541,0.0556347329890411,0.489573639621012,0.926297310004411,0.993964383655351,0.999536801164471
"ASV25",0.773432366707216,0.563544102771968,0.057170160725199,0.252976369411725,0.878212540873313,0.993529582727546,0.999694249461492
"ASV26",0.609320266898465,0.632502454616739,0.0582434034783121,0.0848164805251108,0.720601807469024,0.986258962971652,0.999499606711416
"ASV27",0.568024488173997,0.637720703773478,0.067651547540467,0.0716192610942033,0.651750689704583,0.978449387824856,0.999092932487875
"ASV28",0.622539854952237,0.711881479845349,0.0466794142777944,0.0435468142346857,0.696733747864438,0.9914478166034,0.999829083961448
